",""Sample_ID"",""symbiont_ID"",""count"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"""
"775,""60_C1_T0-18h"",""C31.6"",""0"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"776,""60_C1_T0-18h"",""C31.9"",""0"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"777,""60_C1_T0-18h"",""C31a"",""0"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"778,""60_C1_T0-18h"",""C31c"",""0"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"779,""60_C1_T0-18h"",""C31d"",""0"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"780,""60_C1_T0-18h"",""C3d"",""0"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"781,""60_C1_T0-18h"",""D1"",""107"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"782,""60_C1_T0-18h"",""D1.6"",""8"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"783,""60_C1_T0-18h"",""D10"",""110"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"784,""60_C1_T0-18h"",""D11"",""0"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"785,""60_C1_T0-18h"",""D17"",""462"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"786,""60_C1_T0-18h"",""D1a"",""53"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"787,""60_C1_T0-18h"",""D2.2"",""56"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"788,""60_C1_T0-18h"",""D3"",""14"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"789,""60_C1_T0-18h"",""D4"",""9"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"790,""60_C1_T0-18h"",""D5"",""50"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"791,""60_C1_T0-18h"",""D6"",""87"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"792,""60_C1_T0-18h"",""D9"",""44"",""C"",""t0"",0,""Control_t0"",""G60"",""C1"",""Winter"",""t0_control"",""pcr1"",""D"""
"793,""60_C1_T0+1.5Y"",""C161"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"794,""60_C1_T0+1.5Y"",""C163b"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"795,""60_C1_T0+1.5Y"",""C17"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"796,""60_C1_T0+1.5Y"",""C17.2"",""27"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"797,""60_C1_T0+1.5Y"",""C17a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"798,""60_C1_T0+1.5Y"",""C21"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"799,""60_C1_T0+1.5Y"",""C21.11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"800,""60_C1_T0+1.5Y"",""C21.14"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"801,""60_C1_T0+1.5Y"",""C26.b1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"802,""60_C1_T0+1.5Y"",""C26.b2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"803,""60_C1_T0+1.5Y"",""C2r"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"804,""60_C1_T0+1.5Y"",""C31"",""7"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"805,""60_C1_T0+1.5Y"",""C31.1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"806,""60_C1_T0+1.5Y"",""C31.10"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"807,""60_C1_T0+1.5Y"",""C31.5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"808,""60_C1_T0+1.5Y"",""C31.6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"809,""60_C1_T0+1.5Y"",""C31.9"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"810,""60_C1_T0+1.5Y"",""C31a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"811,""60_C1_T0+1.5Y"",""C31c"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"812,""60_C1_T0+1.5Y"",""C31d"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"813,""60_C1_T0+1.5Y"",""C3d"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"814,""60_C1_T0+1.5Y"",""D1"",""124"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"815,""60_C1_T0+1.5Y"",""D1.6"",""15"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"816,""60_C1_T0+1.5Y"",""D10"",""133"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"817,""60_C1_T0+1.5Y"",""D11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"818,""60_C1_T0+1.5Y"",""D17"",""448"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"819,""60_C1_T0+1.5Y"",""D1a"",""80"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"820,""60_C1_T0+1.5Y"",""D2.2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"821,""60_C1_T0+1.5Y"",""D3"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"822,""60_C1_T0+1.5Y"",""D4"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"823,""60_C1_T0+1.5Y"",""D5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"824,""60_C1_T0+1.5Y"",""D6"",""88"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"825,""60_C1_T0+1.5Y"",""D9"",""78"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"826,""60_C1_T0+6M"",""C161"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"827,""60_C1_T0+6M"",""C163b"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"828,""60_C1_T0+6M"",""C17"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"829,""60_C1_T0+6M"",""C17.2"",""72"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"830,""60_C1_T0+6M"",""C17a"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"831,""60_C1_T0+6M"",""C21"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"832,""60_C1_T0+6M"",""C21.11"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"833,""60_C1_T0+6M"",""C21.14"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"834,""60_C1_T0+6M"",""C26.b1"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"835,""60_C1_T0+6M"",""C26.b2"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"836,""60_C1_T0+6M"",""C2r"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"837,""60_C1_T0+6M"",""C31"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"838,""60_C1_T0+6M"",""C31.1"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"839,""60_C1_T0+6M"",""C31.10"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"840,""60_C1_T0+6M"",""C31.5"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"841,""60_C1_T0+6M"",""C31.6"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"842,""60_C1_T0+6M"",""C31.9"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"843,""60_C1_T0+6M"",""C31a"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"844,""60_C1_T0+6M"",""C31c"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"845,""60_C1_T0+6M"",""C31d"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"846,""60_C1_T0+6M"",""C3d"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"847,""60_C1_T0+6M"",""D1"",""118"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"848,""60_C1_T0+6M"",""D1.6"",""6"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"849,""60_C1_T0+6M"",""D10"",""30"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"850,""60_C1_T0+6M"",""D11"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"851,""60_C1_T0+6M"",""D17"",""386"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"852,""60_C1_T0+6M"",""D1a"",""154"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"853,""60_C1_T0+6M"",""D2.2"",""26"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"854,""60_C1_T0+6M"",""D3"",""10"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"855,""60_C1_T0+6M"",""D4"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"856,""60_C1_T0+6M"",""D5"",""16"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"857,""60_C1_T0+6M"",""D6"",""134"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"858,""60_C1_T0+6M"",""D9"",""48"",""C"",""t0+06m"",0,""Control_t0+06m"",""G60"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""D"""
"859,""60_C2_T0+1.5Y"",""C161"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"860,""60_C2_T0+1.5Y"",""C163b"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"861,""60_C2_T0+1.5Y"",""C17"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"862,""60_C2_T0+1.5Y"",""C17.2"",""30"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"863,""60_C2_T0+1.5Y"",""C17a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"864,""60_C2_T0+1.5Y"",""C21"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"865,""60_C2_T0+1.5Y"",""C21.11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"866,""60_C2_T0+1.5Y"",""C21.14"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"867,""60_C2_T0+1.5Y"",""C26.b1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"868,""60_C2_T0+1.5Y"",""C26.b2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"869,""60_C2_T0+1.5Y"",""C2r"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"870,""60_C2_T0+1.5Y"",""C31"",""4"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"871,""60_C2_T0+1.5Y"",""C31.1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"872,""60_C2_T0+1.5Y"",""C31.10"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"873,""60_C2_T0+1.5Y"",""C31.5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"874,""60_C2_T0+1.5Y"",""C31.6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"875,""60_C2_T0+1.5Y"",""C31.9"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"876,""60_C2_T0+1.5Y"",""C31a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"877,""60_C2_T0+1.5Y"",""C31c"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"878,""60_C2_T0+1.5Y"",""C31d"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"879,""60_C2_T0+1.5Y"",""C3d"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"880,""60_C2_T0+1.5Y"",""D1"",""130"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"881,""60_C2_T0+1.5Y"",""D1.6"",""12"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"882,""60_C2_T0+1.5Y"",""D10"",""122"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"883,""60_C2_T0+1.5Y"",""D11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"884,""60_C2_T0+1.5Y"",""D17"",""423"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"885,""60_C2_T0+1.5Y"",""D1a"",""50"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"886,""60_C2_T0+1.5Y"",""D2.2"",""55"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"887,""60_C2_T0+1.5Y"",""D3"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"888,""60_C2_T0+1.5Y"",""D4"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"889,""60_C2_T0+1.5Y"",""D5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"890,""60_C2_T0+1.5Y"",""D6"",""98"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"891,""60_C2_T0+1.5Y"",""D9"",""76"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G60"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"892,""60_C2_T0+6M"",""C161"",""3"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"893,""60_C2_T0+6M"",""C163b"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"894,""60_C2_T0+6M"",""C17"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"895,""60_C2_T0+6M"",""C17.2"",""71"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"896,""60_C2_T0+6M"",""C17a"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"897,""60_C2_T0+6M"",""C21"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"898,""60_C2_T0+6M"",""C21.11"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"899,""60_C2_T0+6M"",""C21.14"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"900,""60_C2_T0+6M"",""C26.b1"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"901,""60_C2_T0+6M"",""C26.b2"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"902,""60_C2_T0+6M"",""C2r"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"903,""60_C2_T0+6M"",""C31"",""13"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"904,""60_C2_T0+6M"",""C31.1"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"905,""60_C2_T0+6M"",""C31.10"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"906,""60_C2_T0+6M"",""C31.5"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"907,""60_C2_T0+6M"",""C31.6"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"908,""60_C2_T0+6M"",""C31.9"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"909,""60_C2_T0+6M"",""C31a"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"910,""60_C2_T0+6M"",""C31c"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"911,""60_C2_T0+6M"",""C31d"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"912,""60_C2_T0+6M"",""C3d"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"913,""60_C2_T0+6M"",""D1"",""124"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"914,""60_C2_T0+6M"",""D1.6"",""10"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"915,""60_C2_T0+6M"",""D10"",""122"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"916,""60_C2_T0+6M"",""D11"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"917,""60_C2_T0+6M"",""D17"",""435"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"918,""60_C2_T0+6M"",""D1a"",""20"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"919,""60_C2_T0+6M"",""D2.2"",""48"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"920,""60_C2_T0+6M"",""D3"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"921,""60_C2_T0+6M"",""D4"",""0"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"922,""60_C2_T0+6M"",""D5"",""37"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"923,""60_C2_T0+6M"",""D6"",""74"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"924,""60_C2_T0+6M"",""D9"",""43"",""C"",""t0+06m"",0.5,""Control_t0+06m"",""G60"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"""
"925,""60_C3_T0+1.5Y"",""C161"",""0"",""C"",""t0+1.5Y"",1,""Control_t0+18m"",""G60"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
"926,""60_C3_T0+1.5Y"",""C163b"",""0"",""C"",""t0+1.5Y"",1,""Control_t0+18m"",""G60"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""D"""
