",""Sample_ID"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"",""C161"",""C163b"",""C17"",""C17.2"",""C17a"",""C21"",""C21.11"",""C21.14"",""C26.b1"",""C26.b2"",""C2r"",""C31"",""C31.1"",""C31.10"",""C31.5"",""C31.6"",""C31.9"",""C31a"",""C31c"",""C31d"",""C3d"",""D1"",""D1.6"",""D10"",""D11"",""D17"",""D1a"",""D2.2"",""D3"",""D4"",""D5"",""D6"",""D9"""
"57,""64Y_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""G64Y"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"",""2"",""6"",""91"",""238"",""14"",""6"",""7"",""0"",""16"",""16"",""197"",""37"",""0"",""4"",""0"",""15"",""1"",""48"",""9"",""0"",""293"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"58,""64Y_C1_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64Y"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""14"",""13"",""42"",""304"",""0"",""2"",""4"",""0"",""0"",""0"",""317"",""47"",""0"",""3"",""0"",""0"",""3"",""43"",""1"",""0"",""207"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"59,""64Y_C1_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64Y"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"",""89"",""50"",""166"",""231"",""0"",""20"",""15"",""0"",""17"",""22"",""32"",""176"",""0"",""38"",""0"",""44"",""0"",""38"",""35"",""0"",""27"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"60,""64Y_C2_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64Y"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""17"",""13"",""57"",""269"",""0"",""10"",""0"",""0"",""0"",""0"",""256"",""48"",""0"",""12"",""0"",""8"",""10"",""72"",""10"",""0"",""190"",""0"",""0"",""0"",""0"",""28"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"61,""64Y_C3_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64Y"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""25"",""13"",""55"",""285"",""0"",""0"",""0"",""0"",""0"",""0"",""350"",""34"",""0"",""6"",""0"",""0"",""0"",""44"",""5"",""0"",""183"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"62,""64Y_S1_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G64Y"",""S1"",""Winter"",""t0_shade"",""pcr1"",""C"",""2"",""3"",""112"",""242"",""0"",""5"",""7"",""0"",""22"",""18"",""189"",""41"",""0"",""9"",""0"",""14"",""2"",""34"",""7"",""0"",""293"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"63,""64Y_S1_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64Y"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""11"",""15"",""47"",""302"",""0"",""3"",""2"",""0"",""0"",""0"",""326"",""40"",""0"",""3"",""0"",""0"",""0"",""44"",""5"",""0"",""202"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"64,""64Y_S1_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64Y"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"",""101"",""44"",""134"",""237"",""0"",""23"",""23"",""0"",""17"",""24"",""37"",""192"",""0"",""38"",""0"",""50"",""0"",""20"",""34"",""0"",""26"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"65,""64Y_S2_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G64Y"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"",""82"",""37"",""109"",""233"",""0"",""23"",""0"",""18"",""0"",""0"",""63"",""215"",""20"",""33"",""14"",""16"",""16"",""26"",""29"",""0"",""33"",""0"",""0"",""0"",""0"",""33"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"66,""64Y_S2_T0+1.5Y"",""S"",""t0+1.5Y"",0.25,""Shade_t0+18m"",""G64Y"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""20"",""22"",""64"",""0"",""0"",""7"",""0"",""0"",""0"",""0"",""456"",""40"",""0"",""7"",""0"",""0"",""0"",""65"",""8"",""0"",""311"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"67,""64Y_S2_T0+6M"",""S"",""t0+06m"",0.3,""Shade_t0+06m"",""G64Y"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""C"",""15"",""16"",""72"",""260"",""0"",""6"",""0"",""4"",""0"",""0"",""244"",""55"",""8"",""8"",""0"",""13"",""8"",""47"",""11"",""0"",""199"",""0"",""0"",""0"",""0"",""34"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"68,""90_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""G90"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"",""3"",""5"",""97"",""233"",""0"",""4"",""9"",""0"",""27"",""18"",""196"",""33"",""0"",""8"",""21"",""14"",""20"",""39"",""1"",""0"",""272"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"69,""90_C1_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G90"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""20"",""3"",""48"",""269"",""0"",""3"",""2"",""2"",""0"",""0"",""308"",""59"",""0"",""5"",""28"",""0"",""10"",""0"",""4"",""0"",""239"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"70,""90_C1_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G90"",""C1"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""11"",""25"",""71"",""262"",""0"",""8"",""4"",""5"",""0"",""0"",""257"",""35"",""0"",""13"",""21"",""9"",""14"",""36"",""6"",""0"",""223"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"71,""90_C2_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G90"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""11"",""8"",""58"",""302"",""0"",""2"",""2"",""0"",""0"",""0"",""316"",""58"",""0"",""5"",""0"",""2"",""4"",""59"",""6"",""0"",""167"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"72,""90_C2_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G90"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""23"",""22"",""62"",""256"",""0"",""16"",""9"",""0"",""0"",""0"",""243"",""79"",""7"",""14"",""8"",""14"",""9"",""67"",""10"",""0"",""161"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"73,""90_C3_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G90"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""6"",""17"",""50"",""302"",""0"",""6"",""8"",""0"",""0"",""0"",""320"",""63"",""0"",""4"",""21"",""0"",""10"",""0"",""4"",""0"",""189"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"74,""90_S1_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G90"",""S1"",""Winter"",""t0_shade"",""pcr1"",""C"",""3"",""4"",""98"",""191"",""0"",""5"",""5"",""0"",""20"",""16"",""236"",""25"",""0"",""11"",""11"",""13"",""16"",""26"",""5"",""0"",""315"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"75,""90_S1_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G90"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""21"",""9"",""49"",""281"",""0"",""3"",""5"",""0"",""0"",""0"",""330"",""73"",""0"",""11"",""22"",""0"",""12"",""0"",""3"",""0"",""181"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"76,""90_S1_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G90"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"",""1"",""2"",""87"",""217"",""0"",""5"",""9"",""0"",""27"",""20"",""176"",""28"",""0"",""13"",""20"",""18"",""19"",""44"",""11"",""0"",""303"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"77,""90_S2_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G90"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""19"",""17"",""51"",""290"",""0"",""0"",""6"",""2"",""0"",""0"",""313"",""30"",""0"",""5"",""26"",""0"",""13"",""22"",""2"",""0"",""204"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"78,""90_S2_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G90"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""C"",""13"",""23"",""56"",""230"",""0"",""8"",""6"",""1"",""0"",""0"",""239"",""41"",""0"",""20"",""20"",""15"",""26"",""51"",""5"",""0"",""203"",""0"",""0"",""0"",""0"",""43"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"79,""90_S3_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G90"",""S3"",""Winter"",""t0_shade"",""pcr3"",""C"",""7"",""8"",""41"",""219"",""0"",""4"",""0"",""0"",""0"",""0"",""362"",""46"",""0"",""7"",""24"",""0"",""19"",""0"",""0"",""0"",""263"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"80,""92_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""G92"",""C1"",""Winter"",""t0_control"",""pcr1"",""C"",""5"",""3"",""108"",""220"",""13"",""5"",""6"",""0"",""16"",""16"",""245"",""30"",""0"",""3"",""0"",""8"",""0"",""22"",""7"",""0"",""293"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"81,""92_C1_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G92"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""22"",""16"",""49"",""244"",""0"",""6"",""6"",""0"",""0"",""0"",""341"",""26"",""0"",""4"",""0"",""0"",""0"",""30"",""6"",""0"",""250"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"82,""92_C1_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G92"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"",""5"",""1"",""103"",""194"",""10"",""8"",""8"",""0"",""22"",""18"",""249"",""28"",""0"",""4"",""0"",""16"",""0"",""20"",""2"",""0"",""312"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"83,""92_C2_T0-18h"",""C"",""t0"",0,""Control_t0"",""G92"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"",""7"",""22"",""69"",""271"",""0"",""6"",""10"",""0"",""0"",""0"",""217"",""73"",""17"",""11"",""12"",""17"",""7"",""65"",""10"",""0"",""161"",""0"",""0"",""0"",""0"",""25"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"84,""92_C2_T0+6M"",""C"",""t0+06m"",0.15,""Control_t0+06m"",""G92"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""28"",""15"",""69"",""227"",""0"",""8"",""6"",""4"",""17"",""0"",""237"",""33"",""0"",""5"",""0"",""13"",""13"",""44"",""5"",""0"",""243"",""0"",""0"",""0"",""0"",""33"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"85,""92_C3_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G92"",""C3"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""19"",""19"",""66"",""227"",""0"",""5"",""8"",""0"",""35"",""0"",""246"",""27"",""0"",""8"",""0"",""7"",""7"",""40"",""5"",""11"",""227"",""0"",""0"",""0"",""0"",""43"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"86,""92_S1_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G92"",""S1"",""Winter"",""t0_shade"",""pcr1"",""C"",""4"",""1"",""89"",""207"",""15"",""7"",""15"",""0"",""19"",""12"",""217"",""28"",""0"",""6"",""0"",""20"",""0"",""29"",""3"",""0"",""328"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"87,""92_S1_T0+1.5Y"",""S"",""t0+1.5Y"",0.7,""Shade_t0+18m"",""G92"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""11"",""23"",""21"",""102"",""0"",""2"",""3"",""2"",""0"",""0"",""400"",""37"",""0"",""2"",""0"",""0"",""0"",""0"",""5"",""0"",""392"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"88,""92_S2_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G92"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"",""17"",""18"",""74"",""230"",""0"",""14"",""8"",""8"",""0"",""0"",""265"",""35"",""11"",""11"",""0"",""5"",""9"",""43"",""5"",""0"",""207"",""0"",""0"",""0"",""0"",""40"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"89,""92_S2_T0+1.5Y"",""S"",""t0+1.5Y"",0.65,""Shade_t0+18m"",""G92"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""15"",""14"",""52"",""264"",""0"",""3"",""4"",""2"",""0"",""0"",""340"",""29"",""0"",""5"",""0"",""0"",""0"",""29"",""4"",""0"",""239"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"90,""92_S2_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G92"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""C"",""11"",""11"",""68"",""232"",""0"",""4"",""16"",""8"",""28"",""0"",""267"",""38"",""0"",""12"",""0"",""13"",""0"",""38"",""7"",""0"",""247"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"91,""92_S3_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G92"",""S3"",""Summer"",""t0+06m_shade"",""pcr3"",""C"",""19"",""14"",""18"",""104"",""0"",""2"",""4"",""0"",""0"",""0"",""432"",""32"",""0"",""8"",""0"",""0"",""0"",""0"",""3"",""0"",""364"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"92,""P1R2_C1_T0-18h"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C1"",""Winter"",""t0_control"",""pcr2"",""C"",""8"",""27"",""69"",""354"",""0"",""24"",""0"",""0"",""0"",""0"",""228"",""77"",""66"",""11"",""0"",""12"",""12"",""102"",""10"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"93,""P1R2_C2_T0-18h"",""C"",""t0"",0,""Control_t0"",""GP1R2"",""C2"",""Winter"",""t0_control"",""pcr2"",""C"",""20"",""14"",""85"",""330"",""0"",""0"",""0"",""0"",""0"",""0"",""227"",""95"",""54"",""6"",""10"",""13"",""8"",""81"",""13"",""0"",""0"",""0"",""0"",""0"",""0"",""44"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"94,""P1R2_C2_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""GP1R2"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""8"",""10"",""42"",""408"",""0"",""2"",""0"",""0"",""0"",""0"",""0"",""86"",""62"",""2"",""10"",""4"",""0"",""77"",""2"",""0"",""287"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"95,""P1R2_C2_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""GP1R2"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""29"",""22"",""153"",""458"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""94"",""74"",""11"",""15"",""14"",""0"",""89"",""11"",""0"",""0"",""0"",""0"",""0"",""0"",""30"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"96,""P1R2_C3_T0+1.5Y"",""C"",""t0+1.5Y"",0.15,""Control_t0+18m"",""GP1R2"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""19"",""12"",""120"",""589"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""69"",""90"",""6"",""0"",""8"",""0"",""81"",""6"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"97,""P1R2_S1_T0-18h"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S1"",""Winter"",""t0_shade"",""pcr2"",""C"",""28"",""11"",""154"",""449"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""91"",""77"",""18"",""10"",""24"",""0"",""91"",""16"",""0"",""0"",""0"",""0"",""0"",""0"",""31"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"98,""P1R2_S1_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""GP1R2"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""13"",""8"",""41"",""316"",""0"",""4"",""3"",""0"",""0"",""0"",""325"",""62"",""0"",""3"",""0"",""1"",""1"",""51"",""1"",""0"",""171"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"99,""P1R2_S1_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""GP1R2"",""S1"",""Summer"",""t0+06m_shade"",""pcr2"",""C"",""13"",""17"",""59"",""250"",""0"",""12"",""10"",""6"",""0"",""0"",""244"",""59"",""4"",""8"",""4"",""15"",""12"",""55"",""10"",""0"",""198"",""0"",""0"",""0"",""0"",""24"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"100,""P1R2_S2_T0-18h"",""S"",""t0"",0,""Shade_t0"",""GP1R2"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"",""21"",""24"",""65"",""248"",""0"",""6"",""4"",""0"",""0"",""0"",""174"",""89"",""61"",""8"",""6"",""12"",""9"",""97"",""8"",""0"",""135"",""0"",""0"",""0"",""0"",""33"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"101,""P1R2_S2_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""GP1R2"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""16"",""8"",""110"",""603"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""79"",""100"",""3"",""0"",""3"",""0"",""72"",""6"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"102,""P1R2_S2_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""GP1R2"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""C"",""13"",""13"",""81"",""319"",""0"",""21"",""0"",""0"",""0"",""0"",""225"",""87"",""54"",""8"",""0"",""19"",""0"",""75"",""16"",""0"",""0"",""0"",""0"",""0"",""0"",""69"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"103,""P1R2_S3_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""GP1R2"",""S3"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""18"",""12"",""41"",""355"",""0"",""4"",""3"",""0"",""0"",""0"",""251"",""51"",""0"",""4"",""0"",""11"",""5"",""62"",""3"",""0"",""180"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
