",""Sample_ID"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"",""C161"",""C163b"",""C17"",""C17.2"",""C17a"",""C21"",""C21.11"",""C21.14"",""C26.b1"",""C26.b2"",""C2r"",""C31"",""C31.1"",""C31.10"",""C31.5"",""C31.6"",""C31.9"",""C31a"",""C31c"",""C31d"",""C3d"",""D1"",""D1.6"",""D10"",""D11"",""D17"",""D1a"",""D2.2"",""D3"",""D4"",""D5"",""D6"",""D9"""
"14,""58_C1_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G58"",""C1"",""Summer"",""t0+06m_control"",""pcr2"",""D"",""0"",""0"",""0"",""63"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""71"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""48"",""17"",""13"",""0"",""507"",""119"",""0"",""0"",""18"",""0"",""124"",""20"""
"15,""58_C2_T0-18h"",""C"",""t0"",0,""Control_t0"",""G58"",""C2"",""Winter"",""t0_control"",""pcr3"",""D"",""3"",""0"",""0"",""74"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""12"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""131"",""0"",""102"",""0"",""459"",""68"",""0"",""0"",""0"",""0"",""67"",""84"""
"16,""58_C2_T0+6M"",""C"",""t0+06m"",0.85,""Control_t0+06m"",""G58"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""D"",""7"",""0"",""0"",""71"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""10"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""108"",""20"",""113"",""0"",""425"",""55"",""68"",""0"",""0"",""0"",""73"",""50"""
"17,""58_S1_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G58"",""S1"",""Winter"",""t0_shade"",""pcr2"",""D"",""9"",""0"",""0"",""71"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""11"",""0"",""0"",""0"",""0"",""0"",""8"",""0"",""0"",""0"",""113"",""13"",""121"",""0"",""419"",""60"",""51"",""0"",""0"",""0"",""68"",""56"""
"18,""58_S1_T0+1.5Y"",""S"",""t0+1.5Y"",0.05,""Shade_t0+18m"",""G58"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""D"",""0"",""0"",""0"",""34"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""12"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""110"",""12"",""110"",""0"",""469"",""55"",""56"",""0"",""0"",""0"",""92"",""50"""
"19,""58_S1_T0+6M"",""S"",""t0+06m"",0.15,""Shade_t0+06m"",""G58"",""S1"",""Summer"",""t0+06m_shade"",""pcr2"",""D"",""32"",""0"",""0"",""50"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""46"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""52"",""16"",""19"",""0"",""529"",""135"",""0"",""0"",""0"",""0"",""102"",""19"""
"20,""58_S2_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G58"",""S2"",""Winter"",""t0_shade"",""pcr2"",""D"",""7"",""0"",""0"",""68"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""25"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""127"",""22"",""99"",""9"",""402"",""50"",""59"",""0"",""0"",""0"",""85"",""47"""
"21,""58_S2_T0+6M"",""S"",""t0+06m"",0.45,""Shade_t0+06m"",""G58"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""D"",""4"",""0"",""0"",""71"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""16"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""122"",""13"",""104"",""0"",""418"",""57"",""46"",""0"",""0"",""0"",""86"",""63"""
"22,""58_S3_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G58"",""S3"",""Winter"",""t0+18m_shade"",""pcr4"",""D"",""0"",""0"",""0"",""32"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""10"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""122"",""13"",""104"",""0"",""438"",""63"",""73"",""0"",""0"",""0"",""78"",""67"""
"23,""58_S3_T0+6M"",""S"",""t0+06m"",0.3,""Shade_t0+06m"",""G58"",""S3"",""Summer"",""t0+06m_shade"",""pcr3"",""D"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""256"",""0"",""0"",""0"",""492"",""73"",""0"",""0"",""0"",""0"",""104"",""75"""
